,playerID,stint,2B,3B,A,AB,BB,CS,DP,E,GIDP,H,HBP,HR,IBB,InnOuts,PB,PO,R,RBI,SB,SF,SH,SO,WP,ZR,HOF
3805,walshjo04,1.0,0.0,0.0,3.0,8.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
3806,westma02,13.0,136.0,20.0,146.0,2676.0,353.0,0.0,129.0,49.0,48.0,681.0,13.0,77.0,0.0,0.0,0.0,2652.0,338.0,380.0,19.0,0.0,15.0,340.0,0.0,0.0,0.0
3807,williwo01,7.0,40.0,5.0,1010.0,1255.0,88.0,0.0,169.0,59.0,18.0,314.0,4.0,1.0,0.0,0.0,0.0,737.0,133.0,79.0,14.0,0.0,22.0,52.0,0.0,0.0,0.0
3808,workmch01,13.0,57.0,7.0,298.0,1749.0,161.0,0.0,35.0,47.0,26.0,423.0,15.0,50.0,0.0,0.0,0.0,812.0,213.0,230.0,24.0,0.0,31.0,202.0,0.0,0.0,0.0
3809,wrighta01,9.0,175.0,55.0,63.0,3583.0,346.0,33.0,17.0,53.0,76.0,1115.0,27.0,38.0,0.0,0.0,0.0,1778.0,465.0,553.0,32.0,0.0,25.0,155.0,0.0,0.0,0.0
3810,aderhmo01,10.0,7.0,3.0,26.0,262.0,19.0,1.0,5.0,14.0,1.0,70.0,0.0,3.0,0.0,0.0,0.0,125.0,36.0,32.0,3.0,0.0,0.0,29.0,0.0,0.0,0.0
3811,andrest01,6.0,2.0,1.0,26.0,149.0,8.0,0.0,2.0,12.0,3.0,32.0,1.0,1.0,0.0,0.0,6.0,154.0,11.0,12.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0
3812,batesbu01,1.0,2.0,0.0,1.0,58.0,2.0,0.0,1.0,1.0,3.0,15.0,0.0,1.0,0.0,0.0,0.0,44.0,8.0,2.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0
3813,bellfe01,2.0,5.0,8.0,7.0,265.0,43.0,0.0,0.0,7.0,4.0,75.0,0.0,2.0,0.0,0.0,0.0,154.0,44.0,35.0,2.0,0.0,5.0,19.0,0.0,0.0,0.0
3814,benjast01,10.0,32.0,11.0,46.0,770.0,32.0,1.0,18.0,14.0,21.0,176.0,1.0,5.0,0.0,0.0,0.0,458.0,77.0,41.0,23.0,0.0,14.0,115.0,0.0,0.0,0.0
3815,berarjo01,37.0,167.0,23.0,2135.0,3028.0,284.0,29.0,509.0,170.0,80.0,755.0,13.0,36.0,0.0,0.0,0.0,1993.0,334.0,387.0,27.0,0.0,32.0,268.0,0.0,0.0,0.0
3816,bollija01,2.0,25.0,1.0,58.0,342.0,25.0,0.0,42.0,10.0,9.0,107.0,1.0,4.0,0.0,0.0,0.0,598.0,48.0,38.0,6.0,0.0,1.0,14.0,0.0,0.0,0.0
3817,brancal01,7.0,37.0,11.0,701.0,930.0,96.0,6.0,128.0,90.0,24.0,199.0,3.0,4.0,0.0,0.0,0.0,469.0,117.0,80.0,5.0,0.0,9.0,92.0,0.0,0.0,0.0
3818,chapmfr02,5.0,3.0,1.0,148.0,187.0,11.0,3.0,24.0,30.0,3.0,36.0,0.0,0.0,0.0,0.0,0.0,86.0,12.0,9.0,3.0,0.0,5.0,28.0,0.0,0.0,0.0
3819,clemech01,2.0,1.0,1.0,0.0,40.0,3.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,19.0,9.0,3.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0
